# index, id, name, city, country, IATA/FAA, ICAO, latitude, longitude, altitude, timezone, DST, _pos
161,260,Nnamdi Azikiwe International Airport,Abuja,Nigeria,ABV,DNAA,9.006790161132812,7.263169765472412,1123,1.0,N,"array([5.89227097, 1.22581984])"
162,262,Benin Airport,Benin,Nigeria,BNI,DNBE,6.316979885101318,5.5995001792907715,258,1.0,N,"array([5.82652138, 1.24947111])"
163,263,Margaret Ekpo International Airport,Calabar,Nigeria,CBQ,DNCA,4.976019859313965,8.347200393676758,210,1.0,N,"array([5.83364483, 1.25688692])"
164,264,Akanu Ibiam International Airport,Enugu,Nigeria,ENU,DNEN,6.474269866943359,7.561960220336914,466,1.0,N,"array([5.8611661 , 1.26900437])"
165,266,Ibadan Airport,Ibadan,Nigeria,IBA,DNIB,7.362460136413574,3.97832989692688,725,1.0,N,"array([5.77849562, 1.28440042])"
166,267,Ilorin International Airport,Ilorin,Nigeria,ILR,DNIL,8.440210342407227,4.493919849395752,1126,1.0,N,"array([5.7667102 , 1.27778974])"
167,268,Yakubu Gowon Airport,Jos,Nigeria,JOS,DNJO,9.639829635620117,8.869050025939941,4232,1.0,N,"array([5.80795479, 1.24882712])"
168,269,Kaduna Airport,Kaduna,Nigeria,KAD,DNKA,10.696000099182129,7.320109844207764,2073,1.0,N,"array([5.81608725, 1.2657922 ])"
169,270,Mallam Aminu International Airport,Kano,Nigeria,KAN,DNKN,12.0476,8.52462,1562,1.0,N,"array([5.93521986, 1.25622718])"
170,273,Murtala Muhammed International Airport,Lagos,Nigeria,LOS,DNMM,6.5773701667785645,3.321160078048706,135,1.0,N,"array([5.93753793, 1.20869642])"
171,275,Port Harcourt International Airport,Port Hartcourt,Nigeria,PHC,DNPO,5.0154900550842285,6.94959020614624,87,1.0,N,"array([5.86989284, 1.22791521])"
172,276,Sadiq Abubakar III International Airport,Sokoto,Nigeria,SKO,DNSO,12.916299819946289,5.207190036773682,1010,1.0,N,"array([5.76060182, 1.26232544])"
173,277,Yola Airport,Yola,Nigeria,YOL,DNYO,9.257550239562988,12.430399894714355,599,1.0,N,"array([5.77274829, 1.26768298])"
174,280,Diori Hamani International Airport,Niamey,Niger,NIM,DRRN,13.4815,2.18361,732,1.0,N,"array([5.94142812, 1.2148918 ])"
175,286,Monastir Habib Bourguiba International Airport,Monastir,Tunisia,MIR,DTMB,35.75809860229492,10.75469970703125,9,1.0,E,"array([5.9319916 , 1.17934689])"
176,287,Tunis Carthage International Airport,Tunis,Tunisia,TUN,DTTA,36.85100173950195,10.22719955444336,22,1.0,E,"array([5.95361331, 1.19375739])"
177,290,Gafsa Ksar International Airport,Gafsa,Tunisia,GAF,DTTF,34.422000885009766,8.822500228881836,1060,1.0,E,"array([5.78995087, 1.23337232])"
178,291,Gabès Matmata International Airport,Gabes,Tunisia,GAE,DTTG,33.87689971923828,10.103300094604492,26,1.0,E,"array([5.81937436, 1.21994786])"
179,293,Djerba Zarzis International Airport,Djerba,Tunisia,DJE,DTTJ,33.875,10.775500297546387,19,1.0,E,"array([5.96471265, 1.17854856])"
180,295,Sfax Thyna International Airport,Sfax,Tunisia,SFA,DTTX,34.71799850463867,10.690999984741211,85,1.0,E,"array([5.91166935, 1.20280707])"
181,296,Tozeur Nefta International Airport,Tozeur,Tunisia,TOE,DTTZ,33.939701080322266,8.110560417175293,287,1.0,E,"array([5.84165408, 1.18856108])"
182,298,Lomé-Tokoin Airport,Lome,Togo,LFW,DXXX,6.165609836578369,1.2545100450515747,72,0.0,N,"array([5.9177937 , 1.19240663])"
183,299,Antwerp International Airport (Deurne),Antwerp,Belgium,ANR,EBAW,51.1893997192,4.46027994156,39,1.0,E,"array([5.93273918, 1.04205111])"
