# source, target, distance, airline, airline_code, codeshare, equipment, stops
60,1854,607.2790682966568,AA,24,1,CRJ,0
60,1699,498.1045653811194,AC,330,1,DH1,0
60,1731,728.4805861791759,AC,330,1,CRJ,0
60,191,5986.494230251721,AC,330,0,333,0
60,1829,724.5147817216993,AC,330,1,ERJ,0
60,1818,526.2014571940576,AC,330,1,CRJ,0
60,255,5347.921300135403,AC,330,0,763,0
60,1885,1051.3203613523829,AC,330,1,ERJ E70,0
60,31,2850.265715546771,AC,330,0,E90 320,0
60,35,712.9375318674716,AC,330,1,DH1,0
60,48,955.1033986084661,AC,330,0,E90,0
60,65,368.18782935950117,AC,330,1,DH1,0
60,70,857.347369839038,AC,330,1,CRJ,0
60,89,151.5122283490383,AC,330,0,E90,0
60,97,3553.0905689730625,AC,330,0,320 763,0
60,98,1689.0430592095627,AC,330,1,CRA,0
60,109,505.9214452568662,AC,330,1,DH1,0
60,113,2879.4494482302366,AC,330,0,E90 320,0
60,122,1767.474165951172,AC,330,1,CRA,0
60,125,363.61507993527636,AC,330,0,320 319 E90 763 E75,0
60,1789,707.1241327146647,DL,2009,1,CRJ,0
60,125,363.61507993527636,KL,3090,1,737,0
60,191,5986.494230251721,LH,3320,1,333,0
60,255,5347.921300135403,LH,3320,1,763,0
60,34,2098.0956097495405,MO,502,1,73M,0
60,48,955.1033986084661,PD,4021,0,DH4,0
60,70,857.347369839038,PD,4021,0,DH4,0
60,87,350.7241883215378,PD,4021,0,DH4,0
60,1699,498.1045653811194,UA,5209,1,DH1,0
60,1721,529.2302635754398,UA,5209,1,ERJ E70,0
60,1829,724.5147817216993,UA,5209,1,ERJ,0
60,1818,526.2014571940576,UA,5209,1,CRJ,0
60,1885,1051.3203613523829,UA,5209,1,ERJ E70,0
60,1913,1209.4824718833515,US,5265,1,CRJ,0
60,1854,607.2790682966568,US,5265,1,CRJ,0
60,31,2850.265715546771,WS,5416,0,73W,0
60,48,955.1033986084661,WS,5416,0,73W,0
60,98,1689.0430592095627,WS,5416,0,73W,0
60,113,2879.4494482302366,WS,5416,0,73W 736,0
60,122,1767.474165951172,WS,5416,0,73W,0
60,125,363.61507993527636,WS,5416,0,736 73W,0
61,73,347.8645882095839,WT,"\N",0,PL2,0
62,3042,69.23802167505298,Q9,11838,0,PAG,0
62,130,147.6669689278591,Q9,11838,0,PAG,0
63,97,754.8275555034726,AC,330,1,DH3,0
63,97,754.8275555034726,BH,2692,0,DH1,0
64,56,235.21134395804012,J3,3734,0,J31,0
64,82,147.36500843813846,J3,3734,0,J31,0
65,53,947.4687242212243,3H,"\N",0,DH8,0
65,89,233.04338669657605,3H,"\N",0,DH8,0
65,1854,829.9314831470765,AA,24,1,CRJ,0
65,1885,1414.0275468134057,AC,330,1,ERJ,0
