# index, pid, community, size, pos, leamer, name, color, _pos
96,6593,0,50.81201171875,"array([5354.72583008, 5631.48120117])",8,"KELEM,SCHUMACKS AND KARAMANIE RUGS AND THE LIKE","#c4af78
","array([-7.22065751, -7.26657562])"
97,6592,0,59.26025390625,"array([5205.0534668 , 5560.06665039])",8,"CARPETS,CARPETING AND RUGS,KNOTTED","#c4af78
","array([-7.20440786, -7.22919998])"
98,6596,0,57.7705078125,"array([5536.45849609, 4252.9519043 ])",8,"CARPETS,RUGS ETC.OF OTHER TEXTILE MATERIALS N.E.S.","#ffc200
","array([-7.37939965, -6.9778828 ])"
99,571,0,61.4541015625,"array([4711.75683594, 2122.38110352])",4,"ORANGES,MANDARINS,CLEMENTINES AND OTHER CITRUS","#c6eb8a
","array([-8.17039991, -7.28771433])"
100,572,0,58.85595703125,"array([4748.04077148, 2246.35546875])",4,"OTHER CITRUS FRUIT,FRESH OR DRIED","#c6eb8a
","array([-8.13158776, -7.2945985 ])"
101,8852,0,61.2774658203125,"array([-1608.45343018,  2773.98706055])",9,"CLOCKS,CLOCK MOVEMENTS AND PARTS","#ff6bb0
","array([-7.32364445, -5.55701087])"
102,7781,0,105.8221435546875,"array([-1271.25860596,  2747.21240234])",9,BATTERIES AND ACCUMULATORS AND PARTS,"#ff6bb0
","array([-7.26556384, -5.57569743])"
103,7841,0,60.1275634765625,"array([ 769.97570801, 5243.98339844])",9,CHASSIS FITTED WITH ENGINES FOR MOTOR VEHICLES,"#4037ab
","array([-7.52491728, -6.43038221])"
104,575,0,61.2705078125,"array([4946.296875  , 2320.35717773])",4,"GRAPES,FRESH OR DRIED","#c6eb8a
","array([-8.08890025, -7.3107651 ])"
105,7753,0,58.593017578125,"array([-578.16229248, 3161.88037109])",9,DISH WASHING MACHINES OF HOUSEHOLD TYPE,"#ff6bb0
","array([-7.29432377, -5.87288483])"
106,573,0,74.0322265625,"array([5355.62695312, 2385.25878906])",4,"BANANAS,FRESH OR DRIED","#005a4f
","array([-8.02053907, -7.1562774 ])"
107,6664,0,59.415771484375,"array([2254.77478027, 3535.65429688])",7,TABLEWARE & OTHER ARTICLES OF PORCELAIN OR CHINA,"#ff707a
","array([-7.30801891, -6.64599093])"
108,6658,0,59.627197265625,"array([ 684.35064697, 5648.40136719])",7,"ARTICLES MADE OF GLASS,N.E.S","#9c9a87
","array([-7.19448536, -6.34318167])"
109,2481,0,51.732177734375,"array([3420.91418457, 3045.66210938])",3,RAILWAY OR TRAMWAY SLEEPERS (TIES)OF WOOD,"#473b1c
","array([-7.67830163, -6.79021734])"
110,7921,0,59.482177734375,"array([3389.87414551, 2745.8046875 ])",9,HELICOPTERS,"#38f2f1
","array([-7.72851269, -6.81384153])"
111,8748,0,113.80270004272461,"array([ -76.22206306, 4713.86450195])",9,"ELECTRICAL MEASURING,CHECKING,ANALYSING INSTRUM.","#9c219c
","array([-7.52696048, -6.25497894])"
112,3413,0,126.2716064453125,"array([2030.19134521, 2654.72802734])",2,PETROLEUM GASES AND OTHER GASEOUS HYDROCARBONS,"#ad2b2b
","array([-7.84495844, -6.66277814])"
